FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.96795,96795,P-34718-239,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.948855709285414 60.200527681775924)
Puurekisteri_piste.96796,96796,P-34718-240,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.945779008885847 60.200575498868375)
Puurekisteri_piste.96797,96797,P-34718-241,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.946712901971864 60.20074352038426)
Puurekisteri_piste.96798,96798,P-34718-242,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947823253973187 60.200671004168996)
Puurekisteri_piste.96799,96799,P-34718-243,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947738611892145 60.20080910598558)
Puurekisteri_piste.96800,96800,P-34718-244,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947381376797104 60.200737562817935)
Puurekisteri_piste.96801,96801,P-34718-245,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947308154086073 60.200722805579)
Puurekisteri_piste.96802,96802,P-34718-246,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.947131924844076 60.200827808107036)
Puurekisteri_piste.96803,96803,P-34718-247,,VALLILANLAAKSO,Puisto,METSÄMÄNTY,Pinus,sylvestris,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.94915616010736 60.200340113598415)
Puurekisteri_piste.96804,96804,P-34718-248,,VALLILANLAAKSO,Puisto,KURILIENLEHTIKUUSI,Larix,gmelinii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949592186196703 60.20005424085584)
Puurekisteri_piste.96805,96805,P-34718-249,,VALLILANLAAKSO,Puisto,KURILIENLEHTIKUUSI,Larix,gmelinii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949754517066594 60.200062444303015)
Puurekisteri_piste.96806,96806,P-34718-250,,VALLILANLAAKSO,Puisto,KURILIENLEHTIKUUSI,Larix,gmelinii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949671744302982 60.200040701323246)
Puurekisteri_piste.96807,96807,P-34718-251,,VALLILANLAAKSO,Puisto,SIPERIANLEHTIKUUSI,Larix,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950975775000956 60.200529381064804)
Puurekisteri_piste.96808,96808,P-34718-252,,VALLILANLAAKSO,Puisto,SIPERIANLEHTIKUUSI,Larix,sibirica,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949808310499996 60.20016621250929)
Puurekisteri_piste.96809,96809,P-34718-253,,VALLILANLAAKSO,Puisto,MAKEDONIANMÄNTY,Pinus,peuce,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949353817951177 60.20032906284809)
Puurekisteri_piste.96810,96810,P-34718-254,,VALLILANLAAKSO,Puisto,MAKEDONIANMÄNTY,Pinus,peuce,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.949299815018033 60.200306544302784)
Puurekisteri_piste.96811,96811,P-34718-255,,VALLILANLAAKSO,Puisto,MAKEDONIANMÄNTY,Pinus,peuce,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95027282399743 60.200220625072895)
Puurekisteri_piste.96812,96812,P-34718-256,,VALLILANLAAKSO,Puisto,MAKEDONIANMÄNTY,Pinus,peuce,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950208466371347 60.20022497247769)
Puurekisteri_piste.96813,96813,P-34718-257,,VALLILANLAAKSO,Puisto,MAKEDONIANMÄNTY,Pinus,peuce,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950245464382657 60.20025971587704)
Puurekisteri_piste.96814,96814,P-34718-258,,VALLILANLAAKSO,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.950523782534532 60.200055238317724)
Puurekisteri_piste.96815,96815,P-34718-259,,VALLILANLAAKSO,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,0 - 10 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95059287239755 60.200013903395565)
