FID,id,tunnus,kadunnimi,puistonnimi,paatyyppi,suomenknimi,suku,laji,kokoluokka,istutusvuosi,datanomistaja,paivitetty_tietopalveluun,geom
Puurekisteri_piste.10353,10353,K-991,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.941001209040408 60.19695644760755)
Puurekisteri_piste.10354,10354,K-992,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.940885308842713 60.19699066123752)
Puurekisteri_piste.10355,10355,K-993,RATAMESTARINKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.9409646455381 60.19701093324799)
Puurekisteri_piste.9918,9918,P-33003-118,,VANHA KIRKKOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.938310991329224 60.166070574210885)
Puurekisteri_piste.9919,9919,P-33003-119,,VANHA KIRKKOPUISTO,Puisto,METSÄVAAHTERA,Acer,platanoides,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.938247842862808 60.16605878815531)
Puurekisteri_piste.9926,9926,K-448,PIETARI KALMIN KATU,,Katu,RUOTSINPIHLAJA,Sorbus,intermedia,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.965324079230232 60.205267071269304)
Puurekisteri_piste.9927,9927,K-4481,KOTKANKATU,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.943708521218912 60.192363524212574)
Puurekisteri_piste.9928,9928,K-4482,KOTKANKATU,,Katu,RAUDUSKOIVU,Betula,pendula,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.9438163577265 60.192424357916245)
Puurekisteri_piste.9929,9929,K-6455,ARKADIANKATU,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.91752601746799 60.17146163995901)
Puurekisteri_piste.9932,9932,P-33054-181,,HESPERIAN ESPLANADI,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.914738511602877 60.17622585838603)
Puurekisteri_piste.9933,9933,P-33054-182,,HESPERIAN ESPLANADI,Puisto,DOUGLASKUUSI,Pseudotsuga,menziesii,30 - 50 cm,,Helsinki/MAKA,2026-02-27,POINT (24.91482146638825 60.1762777833425)
Puurekisteri_piste.9934,9934,K-6694,KAMPINTORI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93205381904074 60.16746823523946)
Puurekisteri_piste.9935,9935,K-6695,KAMPINTORI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93190953982852 60.16746016984203)
Puurekisteri_piste.9936,9936,K-6696,KAMPINTORI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93178777708524 60.16745605152875)
Puurekisteri_piste.9937,9937,K-6697,KAMPINTORI,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.93164692385997 60.16745866619797)
Puurekisteri_piste.10654,10654,P-33102-1,,LAPINLAHDEN PUISTIKKO,Puisto,VUORIJALAVA,Ulmus,glabra,10 - 20 cm,,Helsinki/MAKA,2026-02-27,POINT (24.931226893797394 60.165908886676675)
Puurekisteri_piste.10656,10656,K-9485,KÄPYLÄNTIE,,Katu,PUISTOLEHMUS,Tilia,x vulgaris,20 - 30 cm,,Helsinki/MAKA,2026-02-27,POINT (24.95849980409637 60.21484671329465)
